dataset	A1_geo_mrr	A1_geo_hits10	A2_geo_mrr	A2_geo_hits10
strong_time	0.0914±0.0080	0.2130±0.0165	0.0921±0.0092	0.2173±0.0214
strong_time_v2	0.1142±0.0113	0.2681±0.0259	0.1138±0.0094	0.2670±0.0266
