k_prev	geo_mrr	geo_hits10	band_mrr	band_hits10
1	0.1083	0.2524	0.6807	1.0000
4	0.1161	0.2816	0.6907	1.0000
8	0.1273	0.2977	0.6856	1.0000
16	0.1134	0.2723	0.7013	1.0000
